epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.478,3.22479,4.46304,4.29014,0.0031,0.58065,0.01465,0.00556,2.98031,4.66744,4.15835,0.00011669,0.00011669,0.00011669
2,242.9,3.26226,4.3529,4.29249,0.00467,0.25806,0.0062,0.00296,2.97753,4.66865,4.15666,0.000245099,0.000245099,0.000245099
3,358.426,3.242,4.2968,4.19689,0.00488,0.29032,0.00909,0.00387,2.97574,4.667,4.15483,0.000368227,0.000368227,0.000368227
